,Complaint_number_ID,BORO_Name,Start_Date,End_Date,Complaint_Status,Complaint_code,Complaint_CAT,Complaint_DESC,Suspect_Age,Suspect_Race,Suspect_Gender,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude
1,419473526,MANHATTAN,2017-01-01,12/31/2017,COMPLETED,233,MISDEMEANOR,SEX CRIMES,UNKNOWN,UNKNOWN,U,<18,UNKNOWN,F,40.73669807,-73.98331603
2,443040344,QUEENS,2017-01-01,12/31/2018,COMPLETED,233,MISDEMEANOR,SEX CRIMES,UNKNOWN,UNKNOWN,M,<18,WHITE,M,40.58646553,-73.81652172
3,844875596,STATEN ISLAND,2017-01-01,9/10/2020,COMPLETED,116,FELONY,SEX CRIMES,UNKNOWN,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,40.64472613,-74.07748316
4,424170028,QUEENS,2017-01-01,12/31/2017,COMPLETED,233,MISDEMEANOR,SEX CRIMES,UNKNOWN,UNKNOWN,M,<18,WHITE HISPANIC,F,40.72993936,-73.81043314
6,116503888,QUEENS,2017-01-01,9/1/2020,COMPLETED,104,FELONY,RAPE,18-24,UNKNOWN,M,<18,UNKNOWN,F,40.70704748,-73.79261190000001
7,903243737,STATEN ISLAND,2017-01-01,12/31/2017,COMPLETED,233,MISDEMEANOR,SEX CRIMES,25-44,BLACK,M,18-24,BLACK,F,40.64472613,-74.07748316
8,112897749,BROOKLYN,2017-01-01,12/31/2017,COMPLETED,116,FELONY,SEX CRIMES,18-24,UNKNOWN,F,<18,WHITE,F,40.67458331,-73.93022154
9,728936153,QUEENS,2017-01-01,8/8/2020,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,45-64,BLACK,F,40.69784958,-73.77359539
10,576408766,QUEENS,2017-01-01,8/14/2020,COMPLETED,109,FELONY,GRAND LARCENY,25-44,BLACK,M,UNKNOWN,UNKNOWN,D,40.75158728,-73.94474029
12,349166901,MANHATTAN,2017-01-01,12/31/2019,COMPLETED,233,MISDEMEANOR,SEX CRIMES,45-64,BLACK,M,UNKNOWN,UNKNOWN,M,40.72655402,-73.98782843
16,363436514,BRONX,2017-01-01,3/8/2020,COMPLETED,116,FELONY,SEX CRIMES,<18,UNKNOWN,M,<18,BLACK HISPANIC,M,40.83732351,-73.91983076
17,805314618,MANHATTAN,2017-01-01,3/2/2020,COMPLETED,109,FELONY,GRAND LARCENY,25-44,WHITE,M,UNKNOWN,UNKNOWN,D,40.73737711,-73.99473307
18,194374327,BRONX,2017-01-01,2/3/2020,COMPLETED,112,FELONY,THEFT-FRAUD,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,40.86110207,-73.90021499
19,798943590,BROOKLYN,2017-01-01,1/1/2018,COMPLETED,116,FELONY,SEX CRIMES,UNKNOWN,UNKNOWN,M,<18,WHITE HISPANIC,F,40.59414517,-73.96041495
20,638896978,BROOKLYN,2017-01-01,1/1/2019,COMPLETED,233,MISDEMEANOR,SEX CRIMES,25-44,WHITE HISPANIC,M,<18,BLACK,F,40.5761573,-73.9759838
21,506005993,MANHATTAN,2017-01-01,12/31/2017,COMPLETED,116,FELONY,SEX CRIMES,45-64,BLACK,U,UNKNOWN,UNKNOWN,M,40.75393894,-73.99484365
22,316450085,QUEENS,2017-01-01,6/30/2019,COMPLETED,104,FELONY,RAPE,45-64,BLACK,M,<18,BLACK,F,40.67970041,-73.77604737
