CMPLNT_NUM,BORO_NM,CMPLNT_FR_DT,CMPLNT_TO_DT,CRM_ATPT_CPTD_CD,KY_CD,LAW_CAT_CD,OFNS_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,Latitude,Longitude
505246646,BROOKLYN,1/1/2017,12/10/2020,COMPLETED,233,MISDEMEANOR,SEX CRIMES,,,,<18,UNKNOWN,F,40.62576896,-73.99141682
419473526,MANHATTAN,1/1/2017,12/31/2017,COMPLETED,233,MISDEMEANOR,SEX CRIMES,UNKNOWN,UNKNOWN,U,<18,UNKNOWN,F,40.73669807,-73.98331603
443040344,QUEENS,1/1/2017,12/31/2018,COMPLETED,233,MISDEMEANOR,SEX CRIMES,UNKNOWN,UNKNOWN,M,<18,WHITE,M,40.58646553,-73.81652172
844875596,STATEN ISLAND,1/1/2017,9/10/2020,COMPLETED,116,FELONY,SEX CRIMES,UNKNOWN,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,40.64472613,-74.07748316
424170028,QUEENS,1/1/2017,12/31/2017,COMPLETED,233,MISDEMEANOR,SEX CRIMES,UNKNOWN,UNKNOWN,M,<18,WHITE HISPANIC,F,40.72993936,-73.81043314
901006530,BROOKLYN,1/1/2017,9/19/2020,COMPLETED,361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,,,,25-44,BLACK,F,40.69740047,-73.9513018
116503888,QUEENS,1/1/2017,9/1/2020,COMPLETED,104,FELONY,RAPE,18-24,UNKNOWN,M,<18,UNKNOWN,F,40.70704748,-73.7926119
903243737,STATEN ISLAND,1/1/2017,12/31/2017,COMPLETED,233,MISDEMEANOR,SEX CRIMES,25-44,BLACK,M,18-24,BLACK,F,40.64472613,-74.07748316
112897749,BROOKLYN,1/1/2017,12/31/2017,COMPLETED,116,FELONY,SEX CRIMES,18-24,UNKNOWN,F,<18,WHITE,F,40.67458331,-73.93022154
728936153,QUEENS,1/1/2017,8/8/2020,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,45-64,BLACK,F,40.69784958,-73.77359539
576408766,QUEENS,1/1/2017,8/14/2020,COMPLETED,109,FELONY,GRAND LARCENY,25-44,BLACK,M,UNKNOWN,UNKNOWN,D,40.75158728,-73.94474029
293681331,BROOKLYN,1/1/2017,,COMPLETED,233,MISDEMEANOR,SEX CRIMES,45-64,ASIAN / PACIFIC ISLANDER,U,<18,ASIAN / PACIFIC ISLANDER,F,40.67110691,-73.88143296
349166901,MANHATTAN,1/1/2017,12/31/2019,COMPLETED,233,MISDEMEANOR,SEX CRIMES,45-64,BLACK,M,UNKNOWN,UNKNOWN,M,40.72655402,-73.98782843
142464697,BROOKLYN,1/1/2017,,COMPLETED,233,MISDEMEANOR,SEX CRIMES,25-44,BLACK,M,<18,BLACK,M,40.68887215,-73.94452903
412020260,BROOKLYN,1/1/2017,5/23/2018,COMPLETED,340,MISDEMEANOR,FRAUDS,,,,65+,BLACK,F,40.65923242,-73.91869318
980791902,MANHATTAN,1/1/2017,1/1/2020,COMPLETED,116,FELONY,SEX CRIMES,,,,<18,WHITE HISPANIC,F,40.72655402,-73.98782843
363436514,BRONX,1/1/2017,3/8/2020,COMPLETED,116,FELONY,SEX CRIMES,<18,UNKNOWN,M,<18,BLACK HISPANIC,M,40.83732351,-73.91983076
805314618,MANHATTAN,1/1/2017,3/2/2020,COMPLETED,109,FELONY,GRAND LARCENY,25-44,WHITE,M,UNKNOWN,UNKNOWN,D,40.73737711,-73.99473307
194374327,BRONX,1/1/2017,2/3/2020,COMPLETED,112,FELONY,THEFT-FRAUD,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,40.86110207,-73.90021499
798943590,BROOKLYN,1/1/2017,1/1/2018,COMPLETED,116,FELONY,SEX CRIMES,UNKNOWN,UNKNOWN,M,<18,WHITE HISPANIC,F,40.59414517,-73.96041495
638896978,BROOKLYN,1/1/2017,1/1/2019,COMPLETED,233,MISDEMEANOR,SEX CRIMES,25-44,WHITE HISPANIC,M,<18,BLACK,F,40.5761573,-73.9759838
506005993,MANHATTAN,1/1/2017,12/31/2017,COMPLETED,116,FELONY,SEX CRIMES,45-64,BLACK,U,UNKNOWN,UNKNOWN,M,40.75393894,-73.99484365
316450085,QUEENS,1/1/2017,6/30/2019,COMPLETED,104,FELONY,RAPE,45-64,BLACK,M,<18,BLACK,F,40.67970041,-73.77604737
683087188,QUEENS,1/1/2017,12/31/2019,COMPLETED,116,FELONY,SEX CRIMES,<18,UNKNOWN,M,<18,UNKNOWN,M,40.67970041,-73.77604737
614051260,BRONX,1/1/2017,6/19/2019,COMPLETED,355,MISDEMEANOR,OFFENSES AGAINST THE PERSON,<18,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,40.88105505,-73.87652013
604641805,MANHATTAN,1/1/2017,1/28/2020,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,ASIAN / PACIFIC ISLANDER,M,25-44,WHITE HISPANIC,M,40.82490603,-73.94785181
547956124,BROOKLYN,1/1/2017,12/31/2018,COMPLETED,340,MISDEMEANOR,FRAUDS,,,,45-64,BLACK,M,40.63424666,-73.92269762
226572189,BRONX,1/1/2017,1/1/2017,COMPLETED,233,MISDEMEANOR,SEX CRIMES,,,,<18,BLACK,F,40.84390126,-73.90050463
141685159,QUEENS,1/2/2017,4/30/2020,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,45-64,BLACK,M,40.68754341,-73.78975548
451108268,BRONX,1/2/2017,,COMPLETED,578,VIOLATION,HARRASSMENT 2,45-64,WHITE HISPANIC,F,65+,WHITE HISPANIC,F,40.85036729,-73.91725589
152788984,BRONX,1/4/2017,10/20/2020,COMPLETED,361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,UNKNOWN,WHITE HISPANIC,F,25-44,UNKNOWN,F,40.85558982,-73.90237773
420708376,BROOKLYN,1/9/2017,1/30/2020,COMPLETED,340,MISDEMEANOR,FRAUDS,25-44,UNKNOWN,M,25-44,UNKNOWN,M,40.66277286,-73.9182275
852321595,BRONX,1/10/2017,2/27/2020,COMPLETED,340,MISDEMEANOR,FRAUDS,,,,18-24,WHITE HISPANIC,M,40.87955672,-73.87423024
455077227,BRONX,1/11/2017,8/4/2020,COMPLETED,578,VIOLATION,HARRASSMENT 2,25-44,BLACK,F,25-44,BLACK,M,40.82769754,-73.87610243
862743671,,1/14/2017,,COMPLETED,101,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,,,,45-64,ASIAN / PACIFIC ISLANDER,F,40.62576896,-73.99141682
326339189,QUEENS,1/15/2017,7/1/2020,COMPLETED,341,MISDEMEANOR,PETIT LARCENY,,,,65+,WHITE,M,40.75894314,-73.73404246
511699223,MANHATTAN,1/15/2017,,COMPLETED,233,MISDEMEANOR,SEX CRIMES,25-44,WHITE HISPANIC,M,<18,UNKNOWN,F,40.8399082,-73.93608359
