,Complaint_number_ID,BORO_Name,Start_Date,End_Date,Complaint_Status,Complaint_code,Complaint_CAT,Complaint_DESC,Suspect_Age,Suspect_Race,Suspect_Gender,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude
6,710152247,BROOKLYN,1920-12-30,12/30/1920,COMPLETED,578,VIOLATION,HARRASSMENT 2,25-44,BLACK HISPANIC,F,25-44,BLACK HISPANIC,F,40.67645753,-73.89080773
20,963451622,BROOKLYN,1970-12-01,5/31/1971,COMPLETED,116,FELONY,SEX CRIMES,65+,WHITE,M,45-64,UNKNOWN,F,40.64842112,-73.90489711
74,880173421,BROOKLYN,1994-12-21,12/20/2009,COMPLETED,104,FELONY,RAPE,65+,BLACK,M,25-44,BLACK,F,40.664527500000005,-73.94773929
93,659840757,STATEN ISLAND,1997-12-19,12/19/1997,COMPLETED,104,FELONY,RAPE,45-64,UNKNOWN,M,18-24,WHITE HISPANIC,F,40.64472613,-74.07748316
138,813663919,BROOKLYN,2000-12-14,12/14/2020,COMPLETED,233,MISDEMEANOR,SEX CRIMES,45-64,WHITE,M,25-44,WHITE,F,40.62576896,-73.99141682
139,185411671,BROOKLYN,2000-12-15,12/15/2020,COMPLETED,578,VIOLATION,HARRASSMENT 2,UNKNOWN,UNKNOWN,U,65+,BLACK,F,40.6388812,-73.94394003
141,512881661,BROOKLYN,2000-12-24,12/24/2020,COMPLETED,105,FELONY,ROBBERY,25-44,UNKNOWN,M,<18,WHITE HISPANIC,M,40.68406996,-73.87074095
142,349176865,QUEENS,2000-12-26,12/26/2020,COMPLETED,578,VIOLATION,HARRASSMENT 2,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,F,40.70267199,-73.81158184
219,266823346,QUEENS,2002-12-30,12/30/2020,COMPLETED,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,UNKNOWN,UNKNOWN,U,45-64,WHITE,F,40.69842732,-73.801056
281,369562768,BROOKLYN,2006-12-21,9/29/2020,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,25-44,ASIAN / PACIFIC ISLANDER,F,40.71056420000001,-73.96613509
282,797614597,MANHATTAN,2006-12-22,9/23/2019,COMPLETED,340,MISDEMEANOR,FRAUDS,UNKNOWN,UNKNOWN,U,45-64,WHITE,M,40.74016078,-73.97657424
362,336772803,MANHATTAN,2009-12-01,11/10/2020,COMPLETED,578,VIOLATION,HARRASSMENT 2,25-44,BLACK,F,45-64,BLACK HISPANIC,F,40.74088058,-73.98019709
462,789871267,MANHATTAN,2010-12-11,12/11/2020,COMPLETED,578,VIOLATION,HARRASSMENT 2,25-44,UNKNOWN,F,45-64,WHITE HISPANIC,F,40.78675438,-73.94216163
463,703494846,MANHATTAN,2010-12-15,12/16/2010,COMPLETED,104,FELONY,RAPE,45-64,BLACK,M,25-44,BLACK,F,40.81573205,-73.94542041
464,955819010,BROOKLYN,2010-12-18,12/16/2017,COMPLETED,116,FELONY,SEX CRIMES,UNKNOWN,UNKNOWN,M,<18,WHITE,M,40.62576896,-73.99141682
465,365408903,BROOKLYN,2010-12-25,1/21/2020,COMPLETED,116,FELONY,SEX CRIMES,25-44,WHITE HISPANIC,M,25-44,WHITE,F,40.60260318,-74.00308766
466,485430374,MANHATTAN,2010-12-27,12/28/2010,COMPLETED,104,FELONY,RAPE,25-44,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F,40.81485029,-73.95668185
518,508657237,MANHATTAN,2011-12-01,9/1/2012,COMPLETED,112,FELONY,THEFT-FRAUD,UNKNOWN,WHITE,M,45-64,ASIAN / PACIFIC ISLANDER,F,40.71358835,-73.99594336
520,702723478,MANHATTAN,2011-12-26,12/26/2012,COMPLETED,233,MISDEMEANOR,SEX CRIMES,UNKNOWN,UNKNOWN,U,<18,BLACK HISPANIC,F,40.8087499,-73.95258581
521,810603420,MANHATTAN,2011-12-26,12/26/2012,COMPLETED,116,FELONY,SEX CRIMES,18-24,BLACK HISPANIC,M,<18,BLACK HISPANIC,F,40.8087499,-73.95258581
584,480256803,BROOKLYN,2012-12-22,12/22/2020,COMPLETED,578,VIOLATION,HARRASSMENT 2,18-24,WHITE,F,45-64,WHITE,M,40.62098801,-74.03502187
585,444565461,QUEENS,2012-12-22,12/22/2017,COMPLETED,116,FELONY,SEX CRIMES,45-64,ASIAN / PACIFIC ISLANDER,M,18-24,ASIAN / PACIFIC ISLANDER,F,40.74525274,-73.87006287
587,449670302,QUEENS,2012-12-31,12/31/2012,COMPLETED,116,FELONY,SEX CRIMES,UNKNOWN,UNKNOWN,M,<18,WHITE HISPANIC,F,40.75686098,-73.87565666
678,414042051,BRONX,2013-12-01,1/13/2020,COMPLETED,104,FELONY,RAPE,18-24,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,40.83088999,-73.82728462
680,848650272,MANHATTAN,2013-12-13,9/18/2014,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,M,40.71626281,-73.97991582
682,487862503,BRONX,2013-12-25,8/1/2019,COMPLETED,116,FELONY,SEX CRIMES,25-44,WHITE HISPANIC,M,<18,WHITE HISPANIC,M,40.82256992,-73.91130717
683,678178793,BROOKLYN,2013-12-31,10/22/2020,COMPLETED,112,FELONY,THEFT-FRAUD,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,40.61985615,-73.98598558
684,553488722,BROOKLYN,2013-12-31,3/3/2020,COMPLETED,112,FELONY,THEFT-FRAUD,UNKNOWN,UNKNOWN,U,25-44,UNKNOWN,F,40.66109361,-73.90805448
767,603281317,MANHATTAN,2014-12-01,10/9/2020,COMPLETED,340,MISDEMEANOR,FRAUDS,UNKNOWN,UNKNOWN,U,45-64,BLACK HISPANIC,M,40.83540774,-73.94881569
770,289427969,BROOKLYN,2014-12-15,10/12/2018,COMPLETED,116,FELONY,SEX CRIMES,45-64,WHITE HISPANIC,M,<18,BLACK,M,40.5761573,-73.9759838
771,719875766,MANHATTAN,2014-12-16,2/9/2015,COMPLETED,109,FELONY,GRAND LARCENY,25-44,BLACK,M,18-24,UNKNOWN,F,40.70948728,-74.01026687
773,823284802,QUEENS,2014-12-24,12/24/2014,COMPLETED,116,FELONY,SEX CRIMES,<18,UNKNOWN,M,<18,UNKNOWN,F,40.70704748,-73.79261190000001
774,374397433,BRONX,2014-12-25,1/4/2019,COMPLETED,104,FELONY,RAPE,25-44,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,40.83732351,-73.91983076
776,707491246,QUEENS,2014-12-31,1/1/2015,COMPLETED,116,FELONY,SEX CRIMES,UNKNOWN,UNKNOWN,U,<18,BLACK HISPANIC,M,40.69873677,-73.83156876
903,146909917,MANHATTAN,2015-12-01,12/31/2015,COMPLETED,116,FELONY,SEX CRIMES,25-44,BLACK,M,UNKNOWN,UNKNOWN,F,40.8087499,-73.95258581
907,105037638,MANHATTAN,2015-12-22,10/17/2020,COMPLETED,340,MISDEMEANOR,FRAUDS,UNKNOWN,UNKNOWN,U,25-44,UNKNOWN,M,40.81950962,-73.95358253
908,194386169,BROOKLYN,2015-12-28,12/29/2015,COMPLETED,104,FELONY,RAPE,45-64,WHITE,M,25-44,WHITE,F,40.68387906,-74.00032595
1044,750129995,QUEENS,2016-12-01,12/20/2016,ATTEMPTED,104,FELONY,RAPE,65+,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,40.70426739,-73.89355376
1045,832459619,BROOKLYN,2016-12-01,9/30/2020,COMPLETED,104,FELONY,RAPE,45-64,UNKNOWN,M,<18,WHITE,F,40.59414517,-73.96041495
1046,695333866,BRONX,2016-12-01,8/3/2020,COMPLETED,233,MISDEMEANOR,SEX CRIMES,UNKNOWN,BLACK,M,25-44,BLACK,F,40.8231013,-73.86969046
1049,483166715,BROOKLYN,2016-12-03,12/3/2016,COMPLETED,233,MISDEMEANOR,SEX CRIMES,<18,UNKNOWN,M,<18,BLACK,F,40.69796352,-73.91808336
1053,745694494,QUEENS,2016-12-11,8/11/2017,COMPLETED,104,FELONY,RAPE,18-24,UNKNOWN,M,18-24,WHITE,F,40.74525274,-73.87006287
1054,853412723,MANHATTAN,2016-12-19,1/19/2020,COMPLETED,361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,25-44,WHITE,M,25-44,WHITE HISPANIC,M,40.70445079,-74.00845914
1055,563513779,QUEENS,2016-12-20,12/20/2016,COMPLETED,116,FELONY,SEX CRIMES,UNKNOWN,ASIAN / PACIFIC ISLANDER,M,<18,ASIAN / PACIFIC ISLANDER,F,40.6821864,-73.83969048
1056,358163599,BROOKLYN,2016-12-20,12/21/2016,COMPLETED,116,FELONY,SEX CRIMES,25-44,WHITE HISPANIC,U,<18,WHITE HISPANIC,F,40.60260318,-74.00308766
1057,986303070,MANHATTAN,2016-12-27,1/3/2017,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,45-64,ASIAN / PACIFIC ISLANDER,F,40.76646189,-73.95280363
1308,908541504,QUEENS,2017-12-01,11/16/2020,COMPLETED,116,FELONY,SEX CRIMES,25-44,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,40.60295159,-73.74997626
1311,943955541,MANHATTAN,2017-12-01,8/1/2020,ATTEMPTED,340,MISDEMEANOR,FRAUDS,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,M,40.8212561,-73.95571661
1314,423992070,BROOKLYN,2017-12-01,12/30/2019,COMPLETED,109,FELONY,GRAND LARCENY,25-44,ASIAN / PACIFIC ISLANDER,F,65+,ASIAN / PACIFIC ISLANDER,M,40.58356215,-73.96321855
1323,500561144,STATEN ISLAND,2017-12-11,12/11/2017,COMPLETED,233,MISDEMEANOR,SEX CRIMES,<18,WHITE,F,<18,WHITE,F,40.64472613,-74.07748316
1325,986678875,BROOKLYN,2017-12-15,12/15/2019,COMPLETED,578,VIOLATION,HARRASSMENT 2,UNKNOWN,UNKNOWN,U,25-44,BLACK,F,40.71457358,-73.93802543
1326,169345312,MANHATTAN,2017-12-15,4/16/2019,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,65+,BLACK,F,40.80476491,-73.94140909999999
1329,504829732,BROOKLYN,2017-12-20,12/20/2017,COMPLETED,106,FELONY,FELONY ASSAULT,25-44,WHITE,M,18-24,WHITE,F,40.58369221,-73.95827544
1334,185511150,BROOKLYN,2017-12-29,12/29/2017,COMPLETED,112,FELONY,THEFT-FRAUD,UNKNOWN,UNKNOWN,U,25-44,BLACK HISPANIC,M,40.70140365,-73.94224649
1335,665972298,BRONX,2017-12-30,11/18/2018,COMPLETED,233,MISDEMEANOR,SEX CRIMES,45-64,BLACK HISPANIC,M,<18,BLACK HISPANIC,F,40.83732351,-73.91983076
1884,972810477,BROOKLYN,2018-12-01,10/1/2020,COMPLETED,112,FELONY,THEFT-FRAUD,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,40.67118732,-73.93368219
1885,619444715,QUEENS,2018-12-01,7/20/2020,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,F,40.71849864,-73.74602914
1887,673880984,BRONX,2018-12-01,1/31/2019,COMPLETED,233,MISDEMEANOR,SEX CRIMES,<18,BLACK,M,<18,BLACK,F,40.85396027,-73.90012087
1889,761996147,MANHATTAN,2018-12-01,12/31/2018,COMPLETED,116,FELONY,SEX CRIMES,25-44,BLACK,M,<18,BLACK,F,40.81573205,-73.94542041
1900,250143821,BRONX,2018-12-11,4/22/2020,COMPLETED,112,FELONY,THEFT-FRAUD,UNKNOWN,UNKNOWN,U,25-44,BLACK,F,40.87406557,-73.88031172
1901,908351379,MANHATTAN,2018-12-12,8/17/2020,COMPLETED,109,FELONY,GRAND LARCENY,UNKNOWN,UNKNOWN,U,65+,WHITE,F,40.7949806,-73.97254969
