,Unique_Key,DATE,TIME,BOROUGH,Zip_Code,LATITUDE,LONGITUDE
1,3590430,2017-01-01,0:00,QUEENS,11385.0,40.7001691,-73.9092037
4,3593809,2017-01-01,0:00,MANHATTAN,10010.0,40.7431162,-73.99266690000002
5,3590438,2017-01-01,0:00,QUEENS,11385.0,40.7030865,-73.8597025
9,3610968,2017-01-01,0:05,QUEENS,11433.0,40.696213,-73.78228
12,3590013,2017-01-01,0:20,BRONX,10453.0,40.8496686,-73.9080129
14,3590601,2017-01-01,0:30,BROOKLYN,11236.0,40.6365927,-73.8941719
15,3590058,2017-01-01,0:30,QUEENS,11428.0,40.722315,-73.74284200000001
16,3589962,2017-01-01,0:30,BROOKLYN,11217.0,40.6841826,-73.9839515
20,3591146,2017-01-01,0:45,BROOKLYN,11210.0,40.6247998,-73.9426464
25,3589986,2017-01-01,0:55,STATEN ISLAND,10304.0,40.6159289,-74.08741479999999
27,3591511,2017-01-01,10:00,BROOKLYN,11218.0,40.6466364,-73.9812146
28,3591086,2017-01-01,10:00,MANHATTAN,10002.0,40.7217232,-73.98753559999999
29,3590069,2017-01-01,10:00,QUEENS,11366.0,40.73312979999999,-73.7830252
31,3590754,2017-01-01,10:10,QUEENS,11106.0,40.764349100000004,-73.9234585
32,3596737,2017-01-01,10:20,QUEENS,11372.0,40.75100379999999,-73.89212059999998
33,3591179,2017-01-01,10:30,BROOKLYN,11229.0,40.606640000000006,-73.94051
34,3590858,2017-01-01,10:30,BROOKLYN,11207.0,40.6821786,-73.88895809999998
35,3590292,2017-01-01,10:30,QUEENS,11432.0,40.7108467,-73.7824881
36,3592940,2017-01-01,10:55,BROOKLYN,11210.0,40.6142236,-73.94742790000001
37,3590244,2017-01-01,11:00,BROOKLYN,11211.0,40.7161723,-73.95951140000001
38,3590057,2017-01-01,11:00,QUEENS,11426.0,40.7259488,-73.72147659999999
40,3590349,2017-01-01,11:00,BROOKLYN,11223.0,40.6056922,-73.9802826
42,3590173,2017-01-01,11:01,MANHATTAN,10017.0,40.7511221,-73.97126340000001
44,3590999,2017-01-01,11:20,BROOKLYN,11225.0,40.663474900000004,-73.9577772
45,3590621,2017-01-01,11:20,QUEENS,11421.0,40.6893717,-73.8474317
47,3593660,2017-01-01,11:30,QUEENS,11366.0,40.7248742,-73.8065208
48,3590127,2017-01-01,11:45,BRONX,10469.0,40.8730311,-73.8565525
49,3594567,2017-01-01,12:00,BRONX,10451.0,40.821669799999995,-73.9151801
50,3590298,2017-01-01,12:00,QUEENS,11101.0,40.7433055,-73.93765079999999
51,3590416,2017-01-01,12:10,BRONX,10458.0,40.8558629,-73.89461829999999
52,3592939,2017-01-01,12:10,BROOKLYN,11223.0,40.596978799999995,-73.9732382
53,3590691,2017-01-01,12:16,MANHATTAN,10065.0,40.7608574,-73.9610689
56,3590934,2017-01-01,12:30,MANHATTAN,10018.0,40.754693599999996,-73.9935247
58,3590448,2017-01-01,12:34,QUEENS,11385.0,40.7030131,-73.8823955
61,3590065,2017-01-01,12:55,BROOKLYN,11201.0,40.6892445,-73.9887208
62,3590182,2017-01-01,13:00,QUEENS,11434.0,40.6833902,-73.79258309999999
64,3590370,2017-01-01,13:02,STATEN ISLAND,10304.0,40.6235876,-74.08277059999999
65,3590702,2017-01-01,13:10,MANHATTAN,10010.0,40.7379904,-73.98083879999999
68,3594364,2017-01-01,13:15,BROOKLYN,11236.0,40.651653100000004,-73.9173712
69,3590801,2017-01-01,13:25,BROOKLYN,11209.0,40.63467429999999,-74.0323795
70,3590156,2017-01-01,13:30,QUEENS,11354.0,40.7663085,-73.8196963
71,3590122,2017-01-01,13:36,BRONX,10469.0,40.8830204,-73.8532436
73,3590471,2017-01-01,13:40,QUEENS,11420.0,40.671373200000005,-73.82547209999998
74,3590121,2017-01-01,13:40,BRONX,10466.0,40.8966893,-73.84510379999999
76,3590315,2017-01-01,13:45,MANHATTAN,10013.0,40.7194566,-73.99439749999999
78,3591514,2017-01-01,13:50,BROOKLYN,11232.0,40.645981899999995,-73.9986343
81,3590179,2017-01-01,14:00,QUEENS,11428.0,40.719306599999996,-73.7355124
85,3594340,2017-01-01,14:00,BROOKLYN,11203.0,40.638525200000004,-73.9260638
86,3590372,2017-01-01,14:00,BROOKLYN,11220.0,40.6468531,-74.01925390000001
87,3590602,2017-01-01,14:00,BROOKLYN,11236.0,40.638351,-73.9088843
88,3590841,2017-01-01,14:00,MANHATTAN,10040.0,40.8634245,-73.92643559999999
90,3590470,2017-01-01,14:15,BROOKLYN,11225.0,40.6657278,-73.96424240000002
91,3591157,2017-01-01,14:15,BROOKLYN,11234.0,40.6130427,-73.9262037
93,3591217,2017-01-01,14:20,BROOKLYN,11210.0,40.6288739,-73.9443433
95,3590896,2017-01-01,14:20,QUEENS,11417.0,40.680296500000004,-73.8446402
98,3590912,2017-01-01,14:30,BROOKLYN,11221.0,40.692499299999994,-73.9416325
101,3590544,2017-01-01,14:30,MANHATTAN,10035.0,40.8085632,-73.9407035
103,3590631,2017-01-01,14:30,QUEENS,11691.0,40.5933206,-73.77271340000001
104,3590447,2017-01-01,14:35,QUEENS,11378.0,40.72861279999999,-73.8871994
105,3592519,2017-01-01,14:40,BROOKLYN,11212.0,40.661804,-73.920906
106,3592265,2017-01-01,14:45,BROOKLYN,11223.0,40.5946524,-73.9672223
107,3590807,2017-01-01,14:47,BROOKLYN,11220.0,40.6352348,-74.01697709999999
108,3590180,2017-01-01,14:50,QUEENS,11422.0,40.6545257,-73.7397841
112,3591177,2017-01-01,15:00,BROOKLYN,11229.0,40.599037,-73.95452
113,3590193,2017-01-01,15:00,BROOKLYN,11205.0,40.6940706,-73.9651035
114,3590332,2017-01-01,15:00,QUEENS,11373.0,40.7350469,-73.87681450000001
116,3601631,2017-01-01,15:05,MANHATTAN,10022.0,40.759617,-73.961975
117,3592234,2017-01-01,15:10,BRONX,10455.0,40.8125419,-73.90933220000001
118,3590880,2017-01-01,15:14,MANHATTAN,10028.0,40.778225299999995,-73.9586287
119,3593788,2017-01-01,15:15,BRONX,10458.0,40.858222,-73.8902693
122,3590302,2017-01-01,15:20,BRONX,10475.0,40.86847279999999,-73.82157059999999
123,3592113,2017-01-01,15:25,BRONX,10468.0,40.8674755,-73.8974019
124,3590118,2017-01-01,15:30,BRONX,10466.0,40.8929658,-73.8610017
125,3591189,2017-01-01,15:30,BROOKLYN,11234.0,40.6114632,-73.92436490000001
126,3590270,2017-01-01,15:30,QUEENS,11413.0,40.6633664,-73.7638239
128,3590188,2017-01-01,15:35,QUEENS,11434.0,40.6679631,-73.7715434
129,3590162,2017-01-01,15:35,QUEENS,11375.0,40.7269695,-73.853746
130,3590389,2017-01-01,15:40,BRONX,10452.0,40.845177500000005,-73.9141598
134,3590716,2017-01-01,15:45,MANHATTAN,10013.0,40.7180266,-74.0030447
136,3591351,2017-01-01,16:00,MANHATTAN,10011.0,40.7404705,-73.9982859
137,3590296,2017-01-01,16:00,QUEENS,11375.0,40.72363789999999,-73.83966509999999
138,3590938,2017-01-01,16:00,BRONX,10453.0,40.8504784,-73.91542530000001
139,3590545,2017-01-01,16:00,MANHATTAN,10017.0,40.751861700000006,-73.977074
140,3593895,2017-01-01,16:00,BROOKLYN,11230.0,40.61998320000001,-73.96426690000001
141,3590421,2017-01-01,16:00,STATEN ISLAND,10307.0,40.510386600000004,-74.248165
144,3590923,2017-01-01,16:15,MANHATTAN,10027.0,40.807772299999996,-73.94548329999999
147,3597190,2017-01-01,16:23,BROOKLYN,11201.0,40.696034600000004,-73.9845292
148,3591150,2017-01-01,16:30,QUEENS,11691.0,40.6015424,-73.7469552
149,3590942,2017-01-01,16:30,BROOKLYN,11201.0,40.6982463,-73.9805437
