UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED
3590766,1/1/2017,0:00,,,40.7723306,-73.9453041,"(40.7723306, -73.9453041)",,,,0
3590430,1/1/2017,0:00,QUEENS,11385,40.7001691,-73.9092037,"(40.7001691, -73.9092037)",WOODBINE STREET,SAINT NICHOLAS,,0
3592975,1/1/2017,0:00,,,,,,EAST 6 STREET,,,0
3592360,1/1/2017,0:00,,,,,,HORACE HARDING EXPRESSWAY,99 STREET,,0
3593809,1/1/2017,0:00,MANHATTAN,10010,40.7431162,-73.9926669,"(40.7431162, -73.9926669)",,,717       AVENUE OF THE AMERICAS,2
3590438,1/1/2017,0:00,QUEENS,11385,40.7030865,-73.8597025,"(40.7030865, -73.8597025)",,,87-47     MYRTLE AVENUE,0
3590733,1/1/2017,0:00,,,,,,WEST 59 STREET,CENTRAL PARK SOUTH,,0
3589973,1/1/2017,0:00,,,40.666435,-73.83478,"(40.666435, -73.83478)",,,,0
3591241,1/1/2017,0:01,,,,,,WEST 207 STREET,,,0
3610968,1/1/2017,0:05,QUEENS,11433,40.696213,-73.78228,"(40.696213, -73.78228)",171 PLACE,110 AVENUE,,0
3590594,1/1/2017,0:05,,,,,,ATLANTIC AVENUE,VANWYCK EXPRESSWAY,,0
3590131,1/1/2017,0:15,,,,,,,,,0
3590013,1/1/2017,0:20,BRONX,10453,40.8496686,-73.9080129,"(40.8496686, -73.9080129)",MORRIS AVENUE,EAST 177 STREET,,0
3609065,1/1/2017,0:30,,,40.677498,-73.91362,"(40.677498, -73.91362)",BOYLAND STREET,,,0
3590601,1/1/2017,0:30,BROOKLYN,11236,40.6365927,-73.8941719,"(40.6365927, -73.8941719)",AVENUE M,East 96 street,,0
3590058,1/1/2017,0:30,QUEENS,11428,40.722315,-73.742842,"(40.722315, -73.742842)",216 STREET,92 AVENUE,,0
3589962,1/1/2017,0:30,BROOKLYN,11217,40.6841826,-73.9839515,"(40.6841826, -73.9839515)",BERGEN STREET,NEVINS STREET,,0
3590644,1/1/2017,0:40,,,40.689686,-73.89029,"(40.689686, -73.89029)",,,,0
3591116,1/1/2017,0:40,MANHATTAN,10035,,,,LEXINGTON AVENUE,EAST 124 STREET,,1
3590132,1/1/2017,0:42,,,,,,BARNES AVENUE,,,0
3591146,1/1/2017,0:45,BROOKLYN,11210,40.6247998,-73.9426464,"(40.6247998, -73.9426464)",AVENUE K,EAST 34 STREET,,0
3590128,1/1/2017,0:45,,,,,,EAST 228 STREET,,,0
3590706,1/1/2017,0:45,,,,,,10 AVENUE,,,1
3590109,1/1/2017,0:47,,,,,,EAST 234 STREET,,,0
3590752,1/1/2017,0:49,,,,,,31 STREET,HOYT AVENUE SOUTH,,0
3589986,1/1/2017,0:55,STATEN ISLAND,10304,40.6159289,-74.0874148,"(40.6159289, -74.0874148)",VANDUZER STREET,HILLSIDE AVENUE,,1
3590941,1/1/2017,0:58,,,,,,JEROME AVENUE,,,0
3591511,1/1/2017,10:00,BROOKLYN,11218,40.6466364,-73.9812146,"(40.6466364, -73.9812146)",,,27        DAHILL ROAD,0
3591086,1/1/2017,10:00,MANHATTAN,10002,40.7217232,-73.9875356,"(40.7217232, -73.9875356)",,,171       LUDLOW STREET,0
3590069,1/1/2017,10:00,QUEENS,11366,40.7331298,-73.7830252,"(40.7331298, -73.7830252)",73 AVENUE,188 STREET,,0
3590619,1/1/2017,10:00,,,40.8238325,-73.876232,"(40.8238325, -73.876232)",,,,0
3590754,1/1/2017,10:10,QUEENS,11106,40.7643491,-73.9234585,"(40.7643491, -73.9234585)",31 AVENUE,31 STREET,,2
3596737,1/1/2017,10:20,QUEENS,11372,40.7510038,-73.8921206,"(40.7510038, -73.8921206)",35 AVENUE,74 STREET,,0
3591179,1/1/2017,10:30,BROOKLYN,11229,40.60664,-73.94051,"(40.60664, -73.94051)",GERRITSEN AVENUE,FILLMORE AVENUE,,0
3590858,1/1/2017,10:30,BROOKLYN,11207,40.6821786,-73.8889581,"(40.6821786, -73.8889581)",,,370       JAMAICA AVENUE,0
3590292,1/1/2017,10:30,QUEENS,11432,40.7108467,-73.7824881,"(40.7108467, -73.7824881)",,,179-33    90 AVENUE,0
3592940,1/1/2017,10:55,BROOKLYN,11210,40.6142236,-73.9474279,"(40.6142236, -73.9474279)",EAST 27 STREET,KINGS HIGHWAY,,0
3590244,1/1/2017,11:00,BROOKLYN,11211,40.7161723,-73.9595114,"(40.7161723, -73.9595114)",NORTH 4 STREET,BEDFORD AVENUE,,0
3590057,1/1/2017,11:00,QUEENS,11426,40.7259488,-73.7214766,"(40.7259488, -73.7214766)",247 STREET,91 AVENUE,,0
3590056,1/1/2017,11:00,,,,,,65 AVENUE,,,0
3590349,1/1/2017,11:00,BROOKLYN,11223,40.6056922,-73.9802826,"(40.6056922, -73.9802826)",,,1702      WEST 7 STREET,0
3590186,1/1/2017,11:00,,,,,,133 AVENUE,,,0
3590173,1/1/2017,11:01,MANHATTAN,10017,40.7511221,-73.9712634,"(40.7511221, -73.9712634)",EAST 44 STREET,2 AVENUE,,0
3590936,1/1/2017,11:10,,,,,,CEDAR AVENUE,SEDGWICK AVENUE,,0
3590999,1/1/2017,11:20,BROOKLYN,11225,40.6634749,-73.9577772,"(40.6634749, -73.9577772)",,,140       EMPIRE BOULEVARD,0
3590621,1/1/2017,11:20,QUEENS,11421,40.6893717,-73.8474317,"(40.6893717, -73.8474317)",96 STREET,91 DRIVE,,0
3590070,1/1/2017,11:25,,,,,,155 AVENUE,CROSS BAY BOULEVARD,,0
3593660,1/1/2017,11:30,QUEENS,11366,40.7248742,-73.8065208,"(40.7248742, -73.8065208)",76 ROAD,162 STREET,,0
3590127,1/1/2017,11:45,BRONX,10469,40.8730311,-73.8565525,"(40.8730311, -73.8565525)",LURTING AVENUE,DUNCAN STREET,,0
3594567,1/1/2017,12:00,BRONX,10451,40.8216698,-73.9151801,"(40.8216698, -73.9151801)",MELROSE AVENUE,EAST 157 STREET,,0
